Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
01/01/2017 01:00,0.763,1.15,4.52,5.513,49,25.65
01/01/2017 01:30,0.77,1.41,4.582,5.647,75,25.5
01/01/2017 02:00,0.747,1.16,4.515,5.083,91,25.45
01/01/2017 02:30,0.718,1.61,4.614,6.181,68,25.45
01/01/2017 03:00,0.707,1.34,4.568,4.705,73,25.5
01/01/2017 03:30,0.729,1.21,4.786,4.484,63,25.5
01/01/2017 04:00,0.733,1.2,4.897,5.042,68,25.5
01/01/2017 04:30,0.711,1.29,5.019,8.439,66,25.5
01/01/2017 05:00,0.698,1.11,4.867,4.584,64,25.55
01/01/2017 05:30,0.686,1.14,4.755,5.211,56,25.55
01/01/2017 06:00,0.721,1.12,4.843,5.813,67,25.5
01/01/2017 06:30,0.679,1.22,4.948,4.71,81,25.45
01/01/2017 07:00,0.66,1.08,5.068,5.353,90,25.45
01/01/2017 07:30,0.662,1.18,5.263,7.436,67,25.4
01/01/2017 08:00,0.653,1.21,5.007,6.001,90,25.45
01/01/2017 08:30,0.665,1.17,4.952,6.414,90,25.55
01/01/2017 09:00,0.684,1.55,5.022,6.691,88,25.6
01/01/2017 09:30,0.679,1.09,4.926,6.804,88,25.65
01/01/2017 10:00,0.667,1.12,4.928,6.641,122,25.75
01/01/2017 10:30,0.688,1.13,4.808,5.958,91,25.7
01/01/2017 11:00,0.644,0.99,4.559,6.691,92,25.9
01/01/2017 11:30,0.694,1.18,4.442,7.122,98,25.7
01/01/2017 12:00,0.707,1.59,4.314,7.019,97,26
01/01/2017 12:30,0.714,1.37,4.14,8.154,88,26.05
01/01/2017 13:00,0.739,1.19,4.149,5.668,98,26.05
01/01/2017 13:30,0.846,1.51,3.961,7.055,81,26.05
01/01/2017 14:00,0.815,1.23,3.963,3.833,73,26.05
01/01/2017 14:30,0.903,1.63,4.072,3.652,53,26.15
01/01/2017 15:00,0.908,1.48,3.933,3.886,50,26.3
01/01/2017 15:30,0.957,1.56,4.105,4.397,43,26.4
01/01/2017 16:00,0.996,1.605,4.121,5.468,45,26.4
01/01/2017 16:30,1.08,1.78,4.21,4.589,70,26.35
01/01/2017 17:00,1.078,1.86,4.285,5.18,40,26.4
01/01/2017 17:30,1.125,2.13,4.313,4.854,47,26.3
01/01/2017 18:00,1.165,1.69,4.435,5.266,56,26.2
01/01/2017 18:30,1.244,1.94,4.527,5.94,54,26.1
01/01/2017 19:00,1.234,1.86,4.454,6.329,66,25.95
01/01/2017 19:30,1.328,2.564,4.591,5.214,80,25.75
01/01/2017 20:00,1.266,2.2,4.404,4.809,-99.9,25.45
01/01/2017 20:30,1.171,2.5,4.388,5.368,46,25.4
01/01/2017 21:00,1.181,1.92,4.591,5.306,61,25.2
01/01/2017 21:30,1.238,2.25,4.579,5.337,75,25.2
01/01/2017 22:00,1.201,2.03,4.654,5.984,59,25.15
01/01/2017 22:30,1.163,2.06,4.56,5.642,70,25.1
01/01/2017 23:00,1.163,2.01,4.507,6.138,60,25.05
01/01/2017 23:30,1.153,1.91,4.588,5.971,68,25
01/02/2017 00:00,1.088,1.88,4.594,5.512,60,24.95
01/02/2017 00:30,1.073,1.97,4.409,5.433,64,24.95
01/02/2017 01:00,0.966,1.72,4.246,5.945,61,24.9
01/02/2017 01:30,0.998,1.58,4.368,5.26,63,24.9
01/02/2017 02:00,1.003,1.68,4.486,5.751,59,24.7
01/02/2017 02:30,0.963,1.9,4.262,5.998,53,24.75
01/02/2017 03:00,1.048,2.03,4.56,5.972,60,24.7
01/02/2017 03:30,0.936,1.6,4.574,6.356,60,24.7
01/02/2017 04:00,0.951,1.6,4.915,6.372,61,24.65
01/02/2017 04:30,0.965,1.43,4.595,5.961,56,24.55
01/02/2017 05:00,0.987,1.61,4.718,5.205,56,24.45
01/02/2017 05:30,0.896,1.36,4.649,6.105,60,24.4
01/02/2017 06:00,0.894,1.31,4.611,5.616,53,24.45
01/02/2017 06:30,0.965,1.58,4.906,6.142,57,24.45
01/02/2017 07:00,0.95,1.61,4.699,6.176,57,24.45
01/02/2017 07:30,0.916,1.67,4.646,5.782,60,24.55
01/02/2017 08:00,0.935,1.81,4.76,5.34,60,24.95
01/02/2017 08:30,0.885,1.71,4.838,5.591,54,25
01/02/2017 09:00,0.91,1.57,4.957,6.133,60,25.05
01/02/2017 09:30,0.907,1.56,5.074,6.295,49,24.95
01/02/2017 10:00,0.903,1.5,4.903,6.089,52,25
01/02/2017 10:30,0.942,1.48,4.926,5.487,60,25.1
01/02/2017 11:00,0.896,1.53,4.907,5.507,59,25.15
01/02/2017 11:30,0.918,1.51,4.98,5.698,64,25.25
01/02/2017 12:00,0.856,1.25,4.787,6.36,56,25.4
01/02/2017 12:30,0.861,1.66,4.571,5.768,71,25.35
01/02/2017 13:00,0.835,1.24,4.582,6.024,67,25.3
01/02/2017 13:30,0.889,1.37,4.476,6.199,64,25.4
01/02/2017 14:00,0.819,1.35,4.453,6.134,61,25.4
01/02/2017 14:30,0.822,1.6,4.303,5.329,52,25.3
01/02/2017 15:00,0.807,1.33,4.084,6.103,66,25.35
01/02/2017 15:30,0.872,1.45,4.343,6.099,64,25.2
01/02/2017 16:00,0.885,1.6,4.489,6.521,60,25.15
01/02/2017 16:30,0.848,1.46,4.207,5.988,64,25
01/02/2017 17:00,0.89,1.39,4.282,6.717,66,24.95
01/02/2017 17:30,0.931,1.7,4.39,6.32,60,24.8
01/02/2017 18:00,0.907,2,4.379,6.184,59,24.75
01/02/2017 18:30,0.917,1.34,4.461,5.845,52,24.65
01/02/2017 19:00,0.87,1.39,4.256,5.835,49,24.65
01/02/2017 19:30,0.902,1.5,4.432,5.963,52,24.6
01/02/2017 20:00,0.96,1.54,4.505,5.973,52,24.45
01/02/2017 20:30,0.953,1.84,4.673,5.492,59,24.45
01/02/2017 21:00,0.928,1.39,4.485,5.639,53,24.5
01/02/2017 21:30,0.911,1.77,4.51,5.632,56,24.5
01/02/2017 22:00,0.899,1.78,4.52,6.001,54,24.45
01/02/2017 22:30,0.898,1.31,4.656,5.225,60,24.45
01/02/2017 23:00,0.878,1.48,4.682,5.068,63,24.5
01/02/2017 23:30,0.85,1.67,4.653,5.957,71,24.5
01/03/2017 00:00,0.85,1.43,4.868,5.985,63,24.55
01/03/2017 00:30,0.906,1.49,4.939,6.16,64,24.5
01/03/2017 01:00,0.911,1.59,4.701,6.161,52,24.55
01/03/2017 01:30,0.865,1.77,4.285,6.27,54,24.5
01/03/2017 02:00,0.925,1.44,4.284,5.463,60,24.45
01/03/2017 02:30,0.889,1.35,4.267,6.356,56,24.5
01/03/2017 03:00,0.975,2.01,4.244,4.118,56,24.5
01/03/2017 03:30,1.088,2.05,4.276,4.72,60,24.5
01/03/2017 04:00,1.1,2.08,4.356,4.774,137,24.45
01/03/2017 04:30,1.034,1.73,4.28,4.525,160,24.45
01/03/2017 05:00,1.01,1.48,4.179,4.499,163,24.4
01/03/2017 05:30,1.026,1.87,4.267,4.295,164,24.8
01/03/2017 06:00,1.005,1.55,4.148,5.697,153,24.95
01/03/2017 06:30,1.123,1.9,4.349,6.127,61,24.95
01/03/2017 07:00,1.171,1.76,4.313,4.601,77,24.75
01/03/2017 07:30,1.138,1.87,4.199,4.541,156,24.8
01/03/2017 08:00,1.145,1.99,4.223,4.472,140,24.95
01/03/2017 08:30,1.105,2.01,4.317,4.589,153,25
01/03/2017 09:00,1.068,1.92,4.28,4.522,130,25
01/03/2017 09:30,1.142,2.1,4.468,4.593,151,25
01/03/2017 10:00,1.083,1.73,4.291,4.485,105,25
01/03/2017 10:30,1.105,1.8,4.451,4.864,77,25
01/03/2017 11:00,1.056,1.93,4.541,4.944,104,25
01/03/2017 11:30,1.145,2.057,4.434,5.842,88,25.55
01/03/2017 12:00,1.167,2.3,4.537,5.6,130,25.75
01/03/2017 12:30,1.189,1.88,4.384,6.184,91,25.75
01/03/2017 13:00,1.228,1.81,4.432,4.951,118,25.75
01/03/2017 13:30,1.309,2.06,4.423,5.643,115,25.75
01/03/2017 14:00,1.258,2.2,4.46,5.078,91,25.7
01/03/2017 14:30,1.287,2.12,4.496,5.171,98,25.7
01/03/2017 15:00,1.459,2.57,4.657,5.944,92,25.65
01/03/2017 15:30,1.427,2.64,4.557,4.721,88,25.5
01/03/2017 16:00,1.531,2.75,4.716,6.11,149,25.45
01/03/2017 16:30,1.735,2.73,4.665,5.471,80,25.4
01/03/2017 17:00,1.843,3.3,4.881,5.381,111,25.3
01/03/2017 17:30,1.908,3.22,4.922,5.519,132,25.25
01/03/2017 18:00,1.902,3.44,4.93,5.484,128,25.15
01/03/2017 18:30,2.017,3.05,4.926,5.791,115,25.05
01/03/2017 19:00,2.094,3.634,4.944,5.978,136,25.1
01/03/2017 19:30,1.957,3.183,4.837,5.789,125,25.15
01/03/2017 20:00,2.022,3.324,5.057,5.817,130,25.3
01/03/2017 20:30,2.075,3.74,4.931,5.704,130,25.4
01/03/2017 21:00,2.157,3.745,5.053,6.124,129,25.5
01/03/2017 21:30,2.145,3.38,5.263,6.295,115,25.5
01/03/2017 22:00,2.15,3.865,5.141,6.581,130,25.45
01/03/2017 22:30,2.153,3.411,5.394,5.805,105,25.45
01/03/2017 23:00,2.173,3.481,5.329,6.213,113,25.4
01/03/2017 23:30,1.944,3.17,5.175,6.189,123,25.4
01/04/2017 00:00,1.98,3.019,5.217,5.486,99,25.4
01/04/2017 00:30,1.981,3.18,5.223,6.792,108,25.4
01/04/2017 01:00,1.901,3.531,5.069,6.005,101,25.4
01/04/2017 01:30,1.97,3.482,5.313,6.904,106,25.4
01/04/2017 02:00,2.165,3.33,5.409,6.986,98,25.4
01/04/2017 02:30,1.981,4.108,5.148,5.8,112,25.4
01/04/2017 03:00,1.943,3.486,5.251,6.163,104,25.35
01/04/2017 03:30,1.727,2.98,5.029,6.574,111,25.25
01/04/2017 04:00,1.648,2.97,4.975,5.924,102,25.25
01/04/2017 04:30,1.857,2.922,5.048,5.591,87,25.3
01/04/2017 05:00,1.77,2.91,5.01,6.621,105,25.4
01/04/2017 05:30,1.646,3.47,5.086,6.408,97,25.4
01/04/2017 06:00,1.613,2.602,4.94,5.488,115,25.4
01/04/2017 06:30,1.403,2.6,4.697,6.551,109,25.4
01/04/2017 07:00,1.46,2.46,4.808,5.64,91,25.4
01/04/2017 07:30,1.492,2.24,4.71,6.748,77,25.4
01/04/2017 08:00,1.818,2.749,4.81,6.298,80,25.4
01/04/2017 08:30,1.703,2.819,5.068,7.022,129,25.45
01/04/2017 09:00,1.845,3.41,5.046,6.297,105,25.45
01/04/2017 09:30,1.723,3.08,5.166,6.178,113,25.4
01/04/2017 10:00,1.674,2.718,4.849,6.641,118,25.4
01/04/2017 10:30,1.753,3.22,5.115,5.467,73,25.3
01/04/2017 11:00,1.651,2.88,4.952,5.907,90,25.3
01/04/2017 11:30,1.866,3.05,5.099,6.848,80,25.3
01/04/2017 12:00,1.802,2.72,4.989,6.776,87,25.3
01/04/2017 12:30,1.798,3.22,4.786,6.769,95,25.3
01/04/2017 13:00,1.802,3.44,5.081,5.989,125,25.3
01/04/2017 13:30,1.732,2.56,4.935,5.622,122,25.3
01/04/2017 14:00,1.841,2.987,5.075,6.383,129,25.3
01/04/2017 14:30,1.728,3.37,5.087,6.372,106,25.3
01/04/2017 15:00,1.719,2.91,4.925,5.479,140,25.4
01/04/2017 15:30,1.763,3.341,5.127,6.786,118,25.4
01/04/2017 16:00,1.826,2.71,5.015,5.969,104,25.4
01/04/2017 16:30,1.714,2.69,5.006,5.494,130,25.35
01/04/2017 17:00,1.745,3.77,5.017,7.575,120,25.35
01/04/2017 17:30,1.73,2.69,4.894,6.131,75,25.3
01/04/2017 18:00,1.831,3.15,5.008,6.733,95,25.2
01/04/2017 18:30,1.825,3.24,5.211,7.006,87,25.05
01/04/2017 19:00,1.782,2.784,5.174,6.404,83,25
01/04/2017 19:30,1.756,2.918,4.874,5.76,105,25
01/04/2017 20:00,1.952,3.472,5.017,6.341,112,25.1
01/04/2017 20:30,1.722,2.89,5.141,7.276,113,25.15
01/04/2017 21:00,1.738,2.89,5.083,6.572,111,25.15
01/04/2017 21:30,1.718,3.1,5.159,6.15,101,25.15
01/04/2017 22:00,1.679,2.969,5.136,6.12,71,25.2
01/04/2017 22:30,1.737,3,5.208,6.984,105,25.15
01/04/2017 23:00,1.69,2.941,5.04,7.015,91,25.15
01/04/2017 23:30,1.713,3.21,4.974,7.246,84,25.15
01/05/2017 00:00,1.708,3.44,5.19,6.828,84,25.1
01/05/2017 00:30,1.77,3.282,5.078,7.357,81,25.1
01/05/2017 01:00,1.658,2.84,5.307,5.481,101,25.1
01/05/2017 01:30,1.525,2.56,4.974,7.065,108,25.15
01/05/2017 02:00,1.595,2.83,4.94,6.784,98,25.1
01/05/2017 02:30,1.516,2.58,5.102,6.547,87,25.15
01/05/2017 03:00,1.476,2.05,4.94,6.557,90,25.15
01/05/2017 03:30,1.498,2.65,4.814,6.363,85,25.25
01/05/2017 04:00,1.511,2.47,4.894,7.278,108,25.3
01/05/2017 04:30,1.572,2.92,4.771,6.326,85,25.3
01/05/2017 05:00,1.558,2.713,5.106,6.957,97,25.35
01/05/2017 05:30,1.47,2.47,4.905,6.994,87,25.4
01/05/2017 06:00,1.503,2.407,4.824,6.176,80,25.4
01/05/2017 06:30,1.599,2.75,4.984,6.802,87,25.4
01/05/2017 07:00,1.42,2.28,4.889,6.124,87,25.45
01/05/2017 07:30,1.436,2.5,4.779,5.669,91,25.45
01/05/2017 08:00,1.41,2.46,5.128,7.021,90,25.45
01/05/2017 08:30,1.324,2.258,4.999,6.542,80,25.5
01/05/2017 09:00,1.255,2.25,4.895,7.055,87,25.55
01/05/2017 09:30,1.231,2.03,5.071,6.767,94,25.55
01/05/2017 10:00,1.243,2.15,4.992,7.052,98,25.6
01/05/2017 10:30,1.264,2.05,5.035,7.028,78,25.6
01/05/2017 11:00,1.146,1.95,5.007,6.846,77,25.65
01/05/2017 11:30,1.178,2.09,4.887,6.392,80,25.7
01/05/2017 12:00,1.142,2.21,4.818,6.774,84,25.75
01/05/2017 12:30,1.128,2,5.032,7.005,88,25.8
01/05/2017 13:00,1.206,2.19,4.881,6.839,92,25.85
01/05/2017 13:30,1.154,1.88,4.947,7.356,78,25.9
01/05/2017 14:00,1.225,2.37,4.952,7.071,67,25.95
01/05/2017 14:30,1.207,2.18,4.84,6.419,68,25.95
01/05/2017 15:00,1.225,1.9,5.019,7.354,85,25.95
01/05/2017 15:30,1.192,2.03,5.135,6.593,95,26
01/05/2017 16:00,1.177,1.98,4.899,7.054,81,25.95
01/05/2017 16:30,1.088,2.06,4.741,7.824,83,25.95
01/05/2017 17:00,1.163,1.98,4.822,7.242,54,25.95
01/05/2017 17:30,1.17,1.83,4.989,6.181,67,25.95
01/05/2017 18:00,1.108,1.83,5.243,7.249,80,25.95
01/05/2017 18:30,1.163,1.78,5.115,6.361,67,25.9
01/05/2017 19:00,1.144,2.03,4.987,7.068,73,25.9
01/05/2017 19:30,1.172,2.27,4.924,7.023,77,25.95
01/05/2017 20:00,1.259,2.44,5.138,7.094,59,25.95
01/05/2017 20:30,1.193,1.9,4.849,6.366,52,25.95
01/05/2017 21:00,1.265,2.25,5.012,7.042,46,25.95
01/05/2017 21:30,1.295,2.66,5.036,7.221,56,25.9
01/05/2017 22:00,1.24,1.97,4.947,7.251,47,25.9
01/05/2017 22:30,1.264,2.19,5.026,6.872,45,25.9
01/05/2017 23:00,1.313,2.29,5.111,7.042,61,25.9
01/05/2017 23:30,1.355,2.1,5.071,6.732,61,25.9
01/06/2017 00:00,1.456,2.46,5.362,7.031,57,25.9
01/06/2017 00:30,1.331,2.12,4.96,6.955,49,25.9
01/06/2017 01:00,1.3,2.04,4.938,7.125,49,25.9
01/06/2017 01:30,1.351,2.28,5.276,6.769,54,25.9
01/06/2017 02:00,1.328,2.33,5.184,6.777,75,25.9
01/06/2017 02:30,1.336,2.48,5.203,7.234,56,25.9
01/06/2017 03:00,1.396,2.17,4.983,6.782,74,25.9
01/06/2017 03:30,1.311,1.97,4.931,7.362,68,25.9
01/06/2017 04:00,1.348,2.86,4.887,6.857,60,25.9
01/06/2017 04:30,1.341,2.16,4.801,6.159,78,25.85
01/06/2017 05:00,1.342,2.15,4.915,6.526,81,25.85
01/06/2017 05:30,1.326,2.33,4.959,7.436,56,25.85
01/06/2017 06:00,1.318,1.94,4.986,6.971,74,25.85
01/06/2017 06:30,1.358,2.12,4.863,6.775,57,25.9
01/06/2017 07:00,1.293,2.25,4.802,6.765,80,25.85
01/06/2017 07:30,1.352,2.39,4.966,6.166,75,25.85
01/06/2017 08:00,1.303,2.47,5.038,6.942,70,25.85
01/06/2017 08:30,1.278,2.23,4.758,6.927,59,25.85
01/06/2017 09:00,1.295,2.28,4.966,6.591,68,25.85
01/06/2017 09:30,1.284,2.13,5.046,6.826,115,25.85
01/06/2017 10:00,1.313,2.4,5.209,6.77,59,25.9
01/06/2017 10:30,1.355,2.49,5.113,6.615,83,25.9
01/06/2017 11:00,1.347,2.19,5.102,6.982,74,25.9
01/06/2017 11:30,1.378,2.39,5.379,6.577,83,25.9
01/06/2017 12:00,1.305,2.33,5.195,6.741,77,25.95
01/06/2017 12:30,1.293,1.97,5.166,6.343,75,25.95
01/06/2017 13:00,1.354,2.16,5.175,6.786,78,25.95
01/06/2017 13:30,1.251,2.23,5.106,6.334,74,26
01/06/2017 14:00,1.271,2.1,5.263,6.591,75,26
01/06/2017 14:30,1.263,2.37,5.261,7.696,74,26
01/06/2017 15:00,1.253,2.28,5.292,6.56,81,26.05
01/06/2017 15:30,1.21,2.14,5.228,7.009,81,26.05
01/06/2017 16:00,1.24,2.14,5.226,6.357,87,26.05
01/06/2017 16:30,1.238,2.35,5.437,7.468,95,26.05
01/06/2017 17:00,1.188,2.03,5.129,7.298,95,26.05
01/06/2017 17:30,1.143,1.84,5.013,7.213,75,26
01/06/2017 18:00,1.273,2.11,5.117,7.476,80,26
01/06/2017 18:30,1.207,1.89,4.974,7.204,95,25.95
01/06/2017 19:00,1.316,2.11,4.975,6.783,81,25.95
01/06/2017 19:30,1.237,1.907,4.811,7.673,80,25.95
01/06/2017 20:00,1.398,2.43,5.176,6.799,80,25.95
01/06/2017 20:30,1.434,3.05,4.994,7.08,91,25.95
01/06/2017 21:00,1.467,2.81,5.011,6.563,91,25.9
01/06/2017 21:30,1.477,2.8,4.989,5.176,78,25.9
01/06/2017 22:00,1.468,2.711,4.972,7.853,81,25.9
01/06/2017 22:30,1.571,2.89,5.138,7.037,109,25.9
01/06/2017 23:00,1.563,2.75,5.011,7.562,80,25.9
01/06/2017 23:30,1.51,2.496,4.687,7.004,77,25.9
01/07/2017 00:00,1.637,2.66,5.168,7.008,78,25.9
01/07/2017 00:30,1.636,2.59,5.16,6.598,84,25.9
01/07/2017 01:00,1.677,2.97,5.243,6.512,90,25.9
01/07/2017 01:30,1.682,2.53,5.289,7.448,88,25.85
01/07/2017 02:00,1.588,2.46,5.187,7.561,88,25.85
01/07/2017 02:30,1.665,2.77,5.064,6.319,88,25.85
01/07/2017 03:00,1.69,2.84,5.163,7.487,88,25.85
01/07/2017 03:30,1.72,3.34,5.489,7.296,88,25.85
01/07/2017 04:00,1.692,2.84,4.967,7.475,95,25.85
01/07/2017 04:30,1.813,3.2,5.221,7.574,94,25.85
01/07/2017 05:00,1.817,3.47,5.239,7.501,94,25.85
01/07/2017 05:30,1.889,2.89,5.296,7.047,94,25.85
01/07/2017 06:00,2.097,3.568,5.441,8.152,87,25.8
01/07/2017 06:30,2.035,3.49,5.325,7.527,99,25.85
01/07/2017 07:00,1.955,3.01,5.379,6.71,90,25.85
01/07/2017 07:30,1.966,3.31,5.461,7.732,95,25.85
01/07/2017 08:00,2.004,3.52,5.428,7.307,92,25.85
01/07/2017 08:30,1.999,3.29,5.639,6.593,101,25.85
01/07/2017 09:00,1.96,3.75,5.416,6.546,94,25.85
01/07/2017 09:30,2.114,3.15,5.811,7.823,88,25.85
01/07/2017 10:00,2.175,3.56,5.461,8.155,92,25.85
01/07/2017 10:30,1.916,4.047,5.417,8.45,105,25.9
01/07/2017 11:00,2.14,3.421,5.665,8.237,92,25.9
01/07/2017 11:30,2.022,3.6,5.579,7.57,87,25.9
01/07/2017 12:00,1.97,3.104,5.503,8.427,91,25.95
01/07/2017 12:30,2.126,3.48,5.902,7.95,95,25.95
01/07/2017 13:00,2.054,3.09,5.628,7.618,94,26
01/07/2017 13:30,1.971,3.54,5.335,8.049,95,26.05
01/07/2017 14:00,2.111,4.296,5.88,7.14,94,26.05
01/07/2017 14:30,1.959,3.79,5.492,8.222,95,26.05
01/07/2017 15:00,2.143,3.91,5.632,7.918,95,26.05
01/07/2017 15:30,2.141,3.472,5.686,7.866,102,26.05
01/07/2017 16:00,2.148,3.47,5.924,8.554,98,26.05
01/07/2017 16:30,2.047,3.458,5.328,8.342,95,26.05
01/07/2017 17:00,1.993,3.26,5.562,7.499,94,26.05
01/07/2017 17:30,2.166,3.47,5.495,8.347,92,26.05
01/07/2017 18:00,2.065,3.35,5.349,8.517,92,26.05
01/07/2017 18:30,2.136,3.38,5.67,8.511,98,26.05
01/07/2017 19:00,2.15,3.98,5.677,8.802,97,26
01/07/2017 19:30,2.334,3.599,5.977,8.709,91,26.05
01/07/2017 20:00,2.148,3.5,5.751,8.586,99,26.05
01/07/2017 20:30,2.014,3.16,5.796,9.253,98,26.05
01/07/2017 21:00,2.216,4.04,5.827,7.934,94,26.05
01/07/2017 21:30,2.137,3.298,5.928,8.387,98,26.05
01/07/2017 22:00,2.055,3.39,5.49,8.677,98,26.05
01/07/2017 22:30,2.058,3.13,5.645,8.516,104,26
01/07/2017 23:00,2.03,3.69,5.59,8.152,102,26
01/07/2017 23:30,2.121,3.474,5.765,8.806,106,26
01/08/2017 00:00,2.035,3.22,5.6,8.885,101,25.95
01/08/2017 00:30,1.949,3.23,5.554,8.226,102,25.95
01/08/2017 01:00,2.168,3.51,5.58,8.306,104,25.95
01/08/2017 01:30,2.148,4.03,5.867,8.62,104,25.95
01/08/2017 02:00,1.953,4.02,5.558,8.191,105,25.9
01/08/2017 02:30,2.022,2.89,5.914,7.41,101,25.9
01/08/2017 03:00,2.15,4.03,5.921,8.626,101,25.9
01/08/2017 03:30,2.142,3.684,5.822,8.937,102,25.85
01/08/2017 04:00,2.078,3.3,5.758,9.257,102,25.85
01/08/2017 04:30,2.077,3.66,6.387,7.999,101,25.85
01/08/2017 05:00,2.096,3.3,6.135,9.171,98,25.85
01/08/2017 05:30,2.243,3.637,6.281,9.197,101,25.8
01/08/2017 06:00,2.032,3.68,5.94,9.281,98,25.85
01/08/2017 06:30,1.985,3.44,5.941,8.52,98,25.85
01/08/2017 07:00,1.969,2.92,6.244,9.324,94,25.85
01/08/2017 07:30,1.974,3.05,6.076,8.491,97,25.85
01/08/2017 08:00,2.043,3.74,6.133,8.969,92,25.9
01/08/2017 08:30,2.02,3.17,6.321,8.226,95,25.9
01/08/2017 09:00,1.936,3.5,5.937,9.316,99,25.9
01/08/2017 09:30,2.023,3.24,6.36,8.459,95,25.95
01/08/2017 10:00,1.897,2.86,5.872,7.851,99,26
01/08/2017 10:30,1.989,2.9,6.157,8.912,104,26
01/08/2017 11:00,1.897,3.49,5.931,9.273,101,26.05
01/08/2017 11:30,2.008,3.54,6.109,8.527,101,26.05
01/08/2017 12:00,1.972,3.18,6.002,8.659,92,26.05
01/08/2017 12:30,1.923,3.11,6.21,8.616,92,26.1
01/08/2017 13:00,1.888,3.39,5.805,8.921,99,26.1
01/08/2017 13:30,1.873,3.88,5.862,8.206,101,26.2
01/08/2017 14:00,1.9,3.28,5.791,8.687,98,26.2
01/08/2017 14:30,1.739,2.85,5.836,8.566,95,26.2
01/08/2017 15:00,1.842,2.96,6.029,8.509,101,26.2
01/08/2017 15:30,1.667,2.87,5.875,9.186,99,26.2
01/08/2017 16:00,1.782,2.98,6.189,8.916,98,26.2
01/08/2017 16:30,1.672,2.57,5.963,8.576,102,26.2
01/08/2017 17:00,1.685,2.66,5.923,9.104,101,26.2
01/08/2017 17:30,1.719,3.11,6.02,8.541,98,26.15
01/08/2017 18:00,1.583,2.66,5.781,8.21,98,26.15
01/08/2017 18:30,1.752,3.6,6.178,8.178,99,26.15
01/08/2017 19:00,1.734,3.04,5.781,8.601,95,26.1
01/08/2017 19:30,1.714,2.58,6.275,8.912,98,26.1
01/08/2017 20:00,1.703,2.96,6.272,8.947,98,26.1
01/08/2017 20:30,1.543,2.77,6.075,8.884,99,26.05
01/08/2017 21:00,1.619,2.57,5.877,8.829,94,26.05
01/08/2017 21:30,1.7,2.94,6.092,8.822,99,26.05
01/08/2017 22:00,1.508,2.62,5.899,8.675,104,26.05
01/08/2017 22:30,1.71,3.05,5.992,8.904,99,26.05
01/08/2017 23:00,1.72,2.5,6.126,7.912,97,26.05
01/08/2017 23:30,1.631,3.08,6.002,9.238,95,26.05
01/09/2017 00:00,1.63,2.73,5.955,9.144,99,26
01/09/2017 00:30,1.627,2.42,6.376,7.877,98,26
01/09/2017 01:00,1.662,3.07,6.266,8.886,97,26
01/09/2017 01:30,1.556,2.38,6.323,9.203,98,26
01/09/2017 02:00,1.481,3.01,6.018,8.497,95,26
01/09/2017 02:30,1.498,2.66,5.786,8.52,97,26
01/09/2017 03:00,1.494,2.35,5.988,9.095,90,26
01/09/2017 03:30,1.538,3.03,5.89,8.77,99,25.95
01/09/2017 04:00,1.482,2.6,5.937,9.192,91,25.95
01/09/2017 04:30,1.404,2.3,5.842,8.178,95,25.95
01/09/2017 05:00,1.573,2.64,6.338,8.378,98,25.95
01/09/2017 05:30,1.508,2.56,6.169,8.746,95,25.95
01/09/2017 06:00,1.49,2.42,5.944,8.858,98,25.95
01/09/2017 06:30,1.486,2.44,6.115,8.944,99,25.95
01/09/2017 07:00,1.557,2.81,6.22,8.165,95,25.95
01/09/2017 07:30,1.586,2.29,6.472,8.523,95,25.95
01/09/2017 08:00,1.412,2.41,5.961,8.902,94,25.95
01/09/2017 08:30,1.587,2.75,6.664,8.547,92,25.95
01/09/2017 09:00,1.611,2.49,6.546,8.855,94,26
01/09/2017 09:30,1.479,2.25,6.359,9.108,99,26.05
01/09/2017 10:00,1.512,2.39,6.398,8.586,95,26.15
01/09/2017 10:30,1.48,2.55,6.321,8.883,88,26.2
01/09/2017 11:00,1.539,2.21,6.338,8.538,99,26.3
01/09/2017 11:30,1.545,2.28,6.465,8.838,88,26.4
01/09/2017 12:00,1.415,2.08,6.603,8.89,98,26.55
01/09/2017 12:30,1.576,2.6,6.282,8.812,91,26.55
01/09/2017 13:00,1.488,2.24,6.273,9.175,92,26.55
01/09/2017 13:30,1.489,2.23,6.425,8.863,95,26.65
01/09/2017 14:00,1.554,2.42,6.734,8.594,94,26.65
01/09/2017 14:30,1.576,2.92,5.995,8.199,92,26.7
01/09/2017 15:00,1.716,3.09,6.17,7.923,98,26.55
01/09/2017 15:30,1.576,2.37,6.005,8.884,95,26.5
01/09/2017 16:00,1.495,2.8,6.15,8.294,84,26.45
01/09/2017 16:30,1.545,2.54,5.974,7.865,87,26.35
01/09/2017 17:00,1.622,3.26,5.962,8.479,92,26.35
01/09/2017 17:30,1.551,2.65,6.038,8.816,101,26.35
01/09/2017 18:00,1.533,2.75,6.101,8.844,92,26.25
01/09/2017 18:30,1.659,2.7,6.126,8.483,94,26.15
01/09/2017 19:00,1.659,2.86,6.511,8.45,95,26.25
01/09/2017 19:30,1.659,2.79,6.414,8.744,94,26.2
01/09/2017 20:00,1.542,2.76,6.011,8.547,97,26.15
01/09/2017 20:30,1.415,2.28,5.801,9.249,94,26.1
01/09/2017 21:00,1.428,2.18,5.612,8.9,94,26.1
